id,firstname,lastname,faction,position,date, url,speech
"1075535","Alexander","Gauland","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nFrau Präsidentin! Exzellenzen! Meine Damen und Herren! Um es gleich an den Anfang zu stellen: Auch wir akzeptieren den Wunsch Schwedens und Finnlands, der NATO beizutreten. Wenn wir dies nicht mit überschäumender Freude und Begeisterung tun, dann hat das nichts mit den beiden demokratischen Kandidaten, sondern ausschließlich mit den Umständen und dem Zeitpunkt dieses Schritts zu tun.\n\n({0})\n\nIn einer geopolitischen Auseinandersetzung, die zu einem Krieg in Europa geführt hat, können Gleichgewichtsverschiebungen, auch wenn sie erst einmal symbolischen Charakter haben, Konflikte verschärfen, statt sie zu entspannen. Wir halten es deshalb für wichtig, dass besonders Finnland mit seiner langen Landgrenze zu Russland auch in der NATO weiter seine traditionelle Rolle als Übersetzer russischer Befindlichkeiten und Wünsche spielt, wie es das erfolgreich unter dem früheren Präsidenten Kekkonen viele Jahre getan hat. Und wir gehen weiter davon aus, dass auch künftig keine NATO-Truppen und auch keine Atomwaffen dauerhaft auf dem Territorium beider Länder stationiert werden. Das ist im Interesse des Friedens notwendig.\n\n({1})\n\nWenn der Beitritt dazu führt, dass das europäische Gewicht künftig stärker die Politik der NATO bestimmt als die ganz anders gelagerten und europäischen Wünschen oft widerstreitenden geostrategischen Interessen der USA, wäre das sogar ein zusätzlicher positiver Effekt. Allerdings muss ich anmerken, dass die menschenrechtlichen Rabatte in der trilateralen Absichtserklärung zugunsten der Türkei mehr als nur ein Wermutstropfen für eine Wertegemeinschaft sind, als die sich ja die NATO versteht, meine Damen und Herren.\n\n({2})\n\nWir haben in der Vergangenheit die Ausdehnung der NATO gegen die russischen Grenzen, die von Russland innerlich nie akzeptiert wurde, als eine der Ursachen für die krisenhafte Zuspitzung unseres Verhältnisses zu Russland ausgemacht. Diese Einschätzung bleibt nach wie vor richtig. Allerdings sehen wir auch, dass bei der Berufung auf Peter den Großen durch den russischen Präsidenten, mit der er unter anderem auch den Ukrainekrieg rechtfertigt, Gegner von Peters damaliger Expansion, also besonders Schweden, neue Sicherheiten und Verbündete suchen.\n\nDas historische Gedächtnis in Schweden und Finnland ist lang, und es bewahrt leider keine Erinnerungen an ungetrübte Freundschaft mit dem großen Nachbarn. Gerade wenn wir Geschichte als Lehrmeisterin für Gegenwart und Zukunft ernst nehmen,\n\n({3})\n\nmüssen wir den Wunsch Finnlands und Schwedens nach größerer Sicherheit akzeptieren.\n\n({4})\n\nIhre Entscheidung und unsere positive Antwort ist Realpolitik im besten Sinne. Zum Jubel besteht kein Anlass, meine Damen und Herren, zu einem realpolitischen Willkommen schon.\n\nIch bedanke mich.\n\n({5})"
"1075547","Rüdiger","Lucassen","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nSehr geehrte Frau Präsidentin! Exzellenzen! Liebe Kollegen! Mit Schweden und Finnland treten zwei europäische Nationen der NATO bei, auf die sich Deutschland und das Bündnis verlassen können. Beide Länder unterhalten hochwertige Streitkräfte. Schweden reaktivierte 2018 die Wehrpflicht. Finnland hat ein Reservistenkorps, das sogar vielen europäischen regulären Armeen überlegen ist. Und, ganz wichtig: Die Kultur dieser beiden Nordländer garantiert eine reibungslose Integration ins Bündnis.\n\nDeutschlands Sicherheit wird von dieser Erweiterung unmittelbar profitieren. Wer heute der Aufnahme Schwedens und Finnlands in die NATO zustimmt, bekennt sich zu Deutschlands Sicherheit. Schweden und Finnland stärken die Nordostflanke der NATO. Die letzten Wochen haben allerdings gezeigt, wo die Schwäche des Bündnisses liegt: an der Südostflanke. Die Türkei hat die Beitrittsverhandlungen erneut dazu genutzt, um Europa zu erpressen. Erdogan hat damit wieder einmal mehr bewiesen, dass die Türkei niemals Teil von Europa sein wird.\n\n({0})\n\nMeine Damen und Herren, die Norderweiterung bietet die Chance, den europäischen Pfeiler der NATO endlich zu stärken. Wer dies tut, kann zum einen Totgeburten wie die EU-Armee begraben. Zum anderen ist der Weg hin zu einer europäischen NATO zugleich der Weg zu einer größeren Unabhängigkeit von den USA. Das ist für Deutschland und Europa ein Ziel von immenser Bedeutung. Ich darf die Bundesregierung daran erinnern, dass Unabhängigkeit von Amerika während der Trump-Zeit groß in Mode war. Sie sollten jetzt zeigen, dass diese Absicht nicht nur mit Ihrer Abneigung gegen Trump zu tun hatte, sondern tatsächlich strategisch begründet war.\n\nEine europäische NATO ist eine Notwendigkeit, um Europa aus dem Schraubstock der Großmächte zu befreien. Schweden und Finnland können dazu beitragen. Als Willkommensgeschenk sollte die Bundesregierung den vielen Worten endlich Taten folgen lassen. Das Ziel muss sein, die Bundeswehr zur kampfstärksten Armee Europas aufzubauen und Führung zu übernehmen. Strategische Autonomie wird einem nicht geschenkt; man muss sie sich nehmen.\n\nVielen Dank.\n\n({1})"
"1075558","Robert","Farle","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nSehr geehrte Frau Präsidentin! Sehr geehrte Damen und Herren! Es ist ein sehr demokratisches Recht, dass man sein abweichendes Votum in einem Parlament, in einem Rechtsstaat vertreten kann.\n\n({0})\n\nIch habe genau die Argumente, die Kollege Gauland hier vorgetragen hat, für mich abgewogen, und ich habe auch alle Argumente, die Herr Gysi vorgetragen hat, die wir alle kennen, persönlich für mich abgewogen. Hier steht folgende Entscheidung im Raum: Womit werden Finnland und Schweden, die ich als demokratische Staaten sehr hoch achte, in Zukunft besser fahren? Das müssen sie selbst entscheiden. Die Neutralität, die sie über viele Jahrzehnte beibehalten haben, hat sie bisher vor allem beschützt. Es ist nicht allein die militärische Stärke, die man in die Waagschale wirft, die hilft, militärische Konflikte zu vermeiden. Eine stabile und solide Friedensordnung ist meistens viel wichtiger. Diese wiederherzustellen, ist nicht in erster Linie eine Frage von Militärgewalt, sondern von Verhandlungen.\n\nBei meinem Abwägungsprozess bin ich zu der Meinung gekommen – das sage ich auch zu meinen Kollegen –, nicht aus pragmatischen Gründen irgendetwas für richtig oder falsch zu halten, sondern ich bin zu der Entscheidung gekommen, dass ich heute diesen Beitrittsgesuchen meine Stimme nicht geben werde in Abweichung von der nahezu gesamten AfD-Fraktion, die sich dafür entschieden hat.\n\nZweitens möchte ich Ihnen sagen: In der aktuellen Situation – –"
"1075560","Robert","Farle","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nDrei Minuten."
"1075562","Robert","Farle","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nMir hatte man drei gesagt."
"1075564","Robert","Farle","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nDann sage ich noch ein, zwei Sätze. Das reicht mir, um meine Position klarzumachen.\n\n({0})\n\nEuropa braucht eine starke Sicherheitsarchitektur. Es muss Schluss gemacht werden mit der unsäglichen Kriegsrhetorik, die mittlerweile in unseren Zeitungen stattfindet. Es muss ein Weg gefunden werden; denn Frieden in Europa wird langfristig nur unter Einbeziehung von Russland\n\n({1})\n\nund durch einen Stopp der Osterweiterung erreicht werden können. Wir brauchen nicht 300 000 statt 40 000 Soldaten an der sogenannten Ostflanke. Wir wollen nie wieder einen Krieg in Europa erleben. Nie wieder Krieg!\n\n({2})"
"1075566","Robert","Farle","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nDamit bin ich auch am Ende.\n\nIch bedanke mich."
"1075568","Christina","Baum","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nFrau Präsidentin! Meine Damen und Herren! Sehr geehrte Gäste! Ich habe großes Verständnis für das Sicherheitsbedürfnis der Finnen und Schweden. Dennoch muss uns allen bewusst sein, dass dieser Beitritt eine Provokation für Russland darstellt und zur Ausbreitung des Krieges führen kann.\n\n({0})\n\nDaran kann keinem von uns gelegen sein. Ich denke, darin sind wir uns alle einig.\n\n({1})\n\n– Sie wollen also eine Ausbreitung des Krieges? – In der aktuellen Situation muss deshalb jede Eskalation vermieden werden.\n\nWir sind alle im Frieden aufgewachsen, und, ich glaube, nur wenige können sich überhaupt vorstellen, was Krieg bedeutet. Schon heute gibt es viel zu viele unschuldige Opfer, schon heute gibt es viel zu viel Leid, Schmerz und Tränen.\n\n({2})\n\nDeshalb muss der Krieg schnellstmöglich beendet werden. Das muss unser aller Ziel sein. Das geht nur über Verhandlungen, Kompromisse und Aufeinanderzugehen.\n\n({3})\n\nAuf einem Weg zum Frieden stellt meiner Meinung nach die Aufnahme der beiden Länder heute den falschen Weg dar; denn das Anstreben von Frieden muss unsere erste Priorität sein.\n\n({4})\n\nDeshalb stimme ich dagegen. Denn bei allem, was wir tun, müssen wir immer auch das Ende bedenken.\n\nVielen Dank.\n\n({5})"
"1075573","Götz","Frömming","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nFrau Präsidentin! Sehr geehrte Damen und Herren! Frau Werner, ich muss schon sagen: Das war eben eine typische Politikerrede. Man hört zu, das rauscht so alles an einem vorbei, und hinterher fragt man sich: Was hat sie denn eigentlich gesagt? Was war das jetzt? Was war denn jetzt Konkretes drin?\n\n({0})\n\nAlso da war nichts Konkretes dabei. Insofern hat der Kollege Jarzombek schon recht: Wir brauchen dringend einen neuen Anlauf. Die Regierung hat – das haben wir heute gehört – sich hier anscheinend noch keine weiterführenden Gedanken gemacht.\n\n({1})\n\nMeine Damen und Herren, es ist schon gesagt worden: Deutschland war früher die Apotheke der Welt. Man könnte es noch um Nobelpreise ergänzen. Nicht weit weg von hier an der Humboldt-Universität – früher hieß sie noch Friedrich-Wilhelms-Universität – regnete es früher Nobelpreise. Heute glänzt die Humboldt-Universität – „glänzt“ in Anführungszeichen – damit, dass naturwissenschaftliche Vorträge von linken Vorfeldorganisationen verhindert werden. Das müssen Sie sich mal vorstellen, meine Damen und Herren! Und das ist nur die Spitze des Eisbergs. Wir müssen leider konstatieren: Es herrscht in Deutschland kein gutes Klima mehr für freie Wissenschaft und Forschung.\n\n({2})\n\nNun zum Antrag der CDU/CSU. Sie haben ja mehrfach gesagt, was wir auch richtig finden, dass wir den Standort Deutschland stärken müssen. Das Instrument, das Sie nun vorgeschlagen haben, ist aber ein speziell europäisches, das es ja nicht nur für den Bereich der Biotechnologie oder Gesundheitsforschung gibt, sondern mit dem wir auch in anderen Bereichen schon Erfahrung gemacht haben. Vielleicht haben Sie auch die Kritik, die an diesem europäischen Verteilmechanismus geübt wird, schon zur Kenntnis genommen. Zum Beispiel warnt der Deutsche Industrie- und Handelskammertag vor – ich zitiere – „Subventionsverschwendung“. Darüber sollten wir doch vorher einmal nachdenken, wenn Steuergeld in einen Bereich fließen soll, der doch in der zurückliegenden Zeit gigantische Gewinne gemacht hat.\n\nSchauen wir uns das doch einmal an: Sie haben ja eben zu Recht die Firma BioNTech – Pfizer gehört noch dazu – erwähnt. Wie sah das denn aus? 2021 lag der Nettogewinn allein bei BioNTech bei 10,3 Milliarden Euro. Meine Damen und Herren, wäre das nicht das Geld, das auch in die Forschung fließen sollte? Man muss doch auch fragen: Kann es denn richtig sein, dass der Steuerzahler solche Unternehmen stets fördert, wenn sie am Entstehen sind, aber dann vergessen wird, die entsprechenden Verträge zu schließen, damit von diesem Risikokapital auch wieder etwas zurückfließt? Das würde kein privater Risikokapitalgeber so machen. Mit unserem Steuergeld wird leider so verfahren. Das ist genau eine Form von Subvention, die so nicht richtig sein kann, meine Damen und Herren.\n\n({3})\n\nWerfen wir vielleicht auch noch einen Blick auf die deutsche Förderpraxis. Ich habe dazu vor einiger Zeit eine Anfrage gestellt, und das Ergebnis war interessant. Die Bundesregierung hat bestätigt und zugegeben, dass 90 Prozent der vom deutschen Steuerzahler aufgebrachten Forschungsgelder in ausländische bzw. internationale Firmen und Projekte fließen. Das sind meistens größere Firmen. Die kleineren, hier national verankerten Firmen, die KMU, gehen häufig leer aus. Für sie ist allein das Antragsverfahren zu kompliziert. Hier müssen wir also dringend über unsere Förderpraxis nachdenken, um nur die zu fördern, die auch wirklich eine Förderung brauchen, meine Damen und Herren.\n\n({4})\n\nLassen Sie mich abschließend noch eins sagen: Gerade die Pandemie hat ja gezeigt, dass, wenn es ernst wird, plötzlich jeder sich selbst am nächsten ist. Das haben wir bei den Masken gesehen. Das haben wir bei der Verteilung des Impfstoffs gesehen. Eines ist, glaube ich, wichtig für uns, auch in Zeiten, in denen es sich vielleicht etwas entspannt: Wir müssen wieder lernen, auch national zu denken und zu handeln. Das tun alle anderen Länder, und das sollten wir auch tun, meine Damen und Herren.\n\nVielen Dank.\n\n({5})"
"1075585","Michael","Kaufmann","AfD","Member of Parliament","2022-07-08T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/20/20048.pdf","\n\nSehr geehrter Herr Präsident! Sehr geehrte Damen und Herren Abgeordnete, Besucher auf der Tribüne und Zuschauer! Forschungsförderung ist eine zukunftsweisende Investition, und Deutschland hat hier erheblichen Nachholbedarf. Dennoch wirft dieser Antrag, werte Kollegen von der Unionsfraktion, Fragen auf. Zunächst stellt sich die Frage: Warum diese einseitige Fokussierung auf die Pharmabranche?\n\nWie das im Antrag angeführte Beispiel BioNTech beweist, gehört diese Branche eindeutig zu den Profiteuren der vergangenen Jahre. Auch die im Antrag aufgrund ihrer Dauer kritisierte gesetzlich vorgesehene Investitionsprüfung bei ausländischen Beteiligungen war im Fall von BioNTech kein Hindernis. Neben privatwirtschaftlichen Investoren hat sich auch der Bund mit 375 Millionen Euro als Wagniskapitalgeber betätigt. Sträflicherweise hat der Bund dabei auf eine Gewinnbeteiligung verzichtet, und somit hat der deutsche Steuerzahler den bis heute nicht zugelassenen Impfstoff gleich zweimal bezahlt:\n\n({0})\n\nerstens über die Anschubfinanzierung und zweitens über den offenbar überhöhten Verkaufspreis, wie die exorbitante Umsatzrendite von 54,2 Prozent 2021 nahelegt. Das ist keine Forschungsförderung, sondern Steuerverschwendung.\n\n({1})\n\nMan kann darum nicht sagen, dass gerade die Pharmabranche Deutschlands größtes Sorgenkind im Bereich der Forschung ist. Warum stellt die CDU/CSU dann diesen einseitigen Antrag? Ein Blick in die Beteiligungsverhältnisse von BioNTech liefert mögliche Antworten. BlackRock – Ihr früherer Auftraggeber, Herr Merz, nicht wahr? – hielt zum 30. März 2022 rund 1,6 Millionen Anteile an BioNTech mit einem Marktwert von seinerzeit rund 258 Millionen US-Dollar. Und BlackRock ist darüber hinaus auch bei Pfizer, Moderna und Novavax stark involviert, bei AstraZeneca sogar der größte Anteilseigner.\n\nInteressant ist in diesem Zusammenhang ein Zitat aus der „Süddeutschen Zeitung“ vom 31. Oktober 2018. Ich zitiere:\n\nViel wertvoller aber sind für Blackrock sein\n\n– gemeint ist Friedrich Merzens –\n\nAdressbuch, seine Kontakte in die Politik und in die Chefetagen deutscher Konzerne. Merz sollte als Türöffner fungieren für einen der mächtigsten Finanzkonzerne, die es jemals gab. Dort ist man heute zufrieden.\n\nNach diesem Antrag dürfte BlackRock noch zufriedener sein mit Herrn Merz.\n\n({2})\n\nEine einseitige Fokussierung auf eine einzige, noch dazu prosperierende Branche ist kein sinnvoller Weg. Wir als AfD-Fraktion plädieren dafür, die bereits geübte Praxis der Bundesregierung, als Wagniskapitalgeber aufzutreten, auf alle Bereiche der Forschung auszudehnen und zu professionalisieren.\n\n({3})"
